longitude,latitude,median_income,median_house_value
-122.23,37.88,8325.2,452600
-122.22,37.86,8301.4,358500
-122.24,37.85,7257.4,352100
-122.25,37.85,5643.0999999999995,341300
-122.25,37.85,3846.2,342200
-122.25,37.85,4036.8,269700
-122.25,37.84,3659.1,299200
-122.25,37.84,3120,241400
-122.26,37.84,2080.4,226700
-122.25,37.84,3691.2,261100
-122.26,37.85,3203.1,281500
-122.26,37.85,3270.5,241800
-122.26,37.85,3075,213500
-122.26,37.84,2673.6,191300
-122.26,37.85,1916.7,159200
-122.26,37.85,2125,140000
-122.27,37.85,2775,152500
-122.27,37.85,2120.2000000000003,155500
-122.26,37.84,1991.1,158700
-122.27,37.84,2603.2999999999997,162900
-122.27,37.85,1357.8,147500
-122.27,37.85,1713.5,159800
-122.27,37.84,1725,113900
-122.27,37.84,2180.6,99700
-122.27,37.84,2600,132600
-122.28,37.85,2403.7999999999997,107500
-122.28,37.85,2459.7000000000003,93800
-122.28,37.85,1808,105500
-122.28,37.84,1642.4,108900
-122.28,37.84,1687.5,132000
-122.28,37.84,1927.4,122300
-122.28,37.84,1961.5,115200
-122.27,37.84,1796.9,110400
-122.27,37.83,1375,104900
-122.27,37.83,2730.3,109700
-122.27,37.83,1486.1,97200
-122.27,37.83,1097.2,104500
-122.28,37.83,1410.3000000000002,103900
-122.26,37.83,3480,191400
-122.26,37.83,2589.7999999999997,176000
-122.26,37.83,2097.7999999999997,155400
-122.26,37.83,1285.1999999999998,150000
-122.26,37.84,1025,118800
-122.26,37.84,3964.3,188800
-122.26,37.83,3012.5,184400
-122.26,37.83,2676.8,182300
-122.26,37.83,2026,142500
-122.27,37.82,1734.8,137500
-122.26,37.82,950.6,187500
-122.27,37.82,1775,112500
-122.27,37.82,921.8,171900
-122.27,37.82,1504.5,93800
-122.27,37.82,1110.8,97500
-122.27,37.82,1247.5,104200
-122.28,37.82,1609.8,87500
-122.28,37.82,1411.3,83100
-122.28,37.82,1505.7,87500
-122.28,37.82,817.2,85300
-122.28,37.82,1217.1,80300
-122.29,37.82,2562.5,60000
-122.29,37.83,3392.9,75700
-122.29,37.82,6118.299999999999,75000
-122.29,37.81,901.1,86100
-122.3,37.81,1191,76100
-122.3,37.81,2593.7999999999997,73500
-122.3,37.81,1166.7,78400
-122.3,37.81,805.6,84400
-122.29,37.8,2609.4,81300
-122.3,37.81,1851.6,85000
-122.29,37.81,980.2,129200
-122.29,37.81,1771.9,82500
-122.29,37.81,728.6,95200
-122.29,37.81,1750,75000
-122.29,37.81,499.9,67500
-122.29,37.81,2483,137500
-122.28,37.81,924.1,177500
-122.28,37.81,2446.4,102100
-122.28,37.81,1111.1,108300
-122.29,37.81,802.6,112500
-122.28,37.8,2011.4,131300
-122.28,37.81,1500,162500
